date,series,value
2020-02-20,XAUUSD.Curncy,1619.56
2020-02-20,COM.US.Equity,17.5375
2020-02-21,BCOM.TR,162.5066
2020-02-21,GSCI.TR,2365.325
2020-02-21,XAUUSD.Curncy,1643.41
2020-02-21,COM.US.Equity,17.5723
2020-02-24,BCOM.TR,159.6513
2020-02-24,GSCI.TR,2299.064
2020-02-24,XAUUSD.Curncy,1659.38
2020-02-24,COM.US.Equity,17.5451
2020-02-25,BCOM.TR,158.185
2020-02-25,GSCI.TR,2261.087
2020-02-25,XAUUSD.Curncy,1635.14
2020-02-25,COM.US.Equity,17.37
2020-02-26,BCOM.TR,156.958
2020-02-26,GSCI.TR,2222.104
2020-02-26,XAUUSD.Curncy,1640.96
2020-02-26,COM.US.Equity,17.2813
2020-02-27,BCOM.TR,154.7179
2020-02-27,GSCI.TR,2173.155
2020-02-27,XAUUSD.Curncy,1645.01
2020-02-27,COM.US.Equity,17.0812
2020-02-28,BCOM.TR,151.3185
2020-02-28,GSCI.TR,2117.394
2020-02-28,XAUUSD.Curncy,1585.69
2020-02-28,COM.US.Equity,16.8074
2020-03-02,BCOM.TR,154.5201
2020-03-02,GSCI.TR,2178.983
2020-03-02,XAUUSD.Curncy,1589.44
2020-03-02,COM.US.Equity,16.8107
2020-03-03,BCOM.TR,156.0566
2020-03-03,GSCI.TR,2192.246
2020-03-03,XAUUSD.Curncy,1640.9
2020-03-03,COM.US.Equity,16.9209
2020-03-04,BCOM.TR,156.1423
2020-03-04,GSCI.TR,2186.718
2020-03-04,XAUUSD.Curncy,1636.93
2020-03-04,COM.US.Equity,16.8622
2020-03-05,BCOM.TR,154.9835
2020-03-05,GSCI.TR,2158.223
2020-03-05,XAUUSD.Curncy,1672.23
2020-03-05,COM.US.Equity,16.9237
2020-03-06,BCOM.TR,150.9587
2020-03-06,GSCI.TR,2036.994
2020-03-06,XAUUSD.Curncy,1673.83
2020-03-06,COM.US.Equity,16.8811
2020-03-09,BCOM.TR,144.6936
2020-03-09,GSCI.TR,1798.569
2020-03-09,XAUUSD.Curncy,1680.47
2020-03-09,COM.US.Equity,16.7763
2020-03-10,BCOM.TR,147.784
2020-03-10,GSCI.TR,1875.093
2020-03-10,XAUUSD.Curncy,1649.4
2020-03-10,COM.US.Equity,16.7915
2020-03-11,BCOM.TR,145.6599
2020-03-11,GSCI.TR,1837.357
2020-03-11,XAUUSD.Curncy,1635.04
2020-03-11,COM.US.Equity,16.6888
2020-03-12,BCOM.TR,141.1066
2020-03-12,GSCI.TR,1757.28
2020-03-12,XAUUSD.Curncy,1576.15
2020-03-12,COM.US.Equity,16.5266
2020-03-13,BCOM.TR,139.276
2020-03-13,GSCI.TR,1745.172
2020-03-13,XAUUSD.Curncy,1529.83
2020-03-13,COM.US.Equity,16.4021
2020-03-16,BCOM.TR,133.4574
2020-03-16,GSCI.TR,1631.746
2020-03-16,XAUUSD.Curncy,1514.1
2020-03-16,COM.US.Equity,16.1949
2020-03-17,BCOM.TR,132.251
2020-03-17,GSCI.TR,1601.745
2020-03-17,XAUUSD.Curncy,1528.3
2020-03-17,COM.US.Equity,16.2454
2020-03-18,BCOM.TR,126.8581
2020-03-18,GSCI.TR,1467.824
2020-03-18,XAUUSD.Curncy,1486.05
2020-03-18,COM.US.Equity,16.1487
2020-03-19,BCOM.TR,131.0129
2020-03-19,GSCI.TR,1576.104
2020-03-19,XAUUSD.Curncy,1471.24
