"","date","series","value"
"114",2020-06-24,"CL1.Comdty",38.01
"115",2020-06-25,"BCOM.TR",135.3739
"116",2020-06-25,"GSCI.TR",1624.058
"117",2020-06-25,"XAUUSD.Curncy",1763.79
"118",2020-06-25,"S.P500.TR",6316.45
"119",2020-06-25,"ABCTRI",4058.759066
"120",2020-06-25,"CL1.Comdty",38.72
"121",2020-06-26,"BCOM.TR",134.8875
"122",2020-06-26,"GSCI.TR",1613.277
"123",2020-06-26,"XAUUSD.Curncy",1771.29
"124",2020-06-26,"S.P500.TR",6163.5
"125",2020-06-26,"ABCTRI",4060.379865
"126",2020-06-26,"CL1.Comdty",38.49
"127",2020-06-29,"BCOM.TR",137.0737
"128",2020-06-29,"GSCI.TR",1645.871
"129",2020-06-29,"XAUUSD.Curncy",1772.82
"130",2020-06-29,"S.P500.TR",6254.78
"131",2020-06-29,"ABCTRI",4060.711741
"132",2020-06-29,"CL1.Comdty",39.7
"133",2020-06-30,"BCOM.TR",138.6382
"134",2020-06-30,"GSCI.TR",1650.79
"135",2020-06-30,"XAUUSD.Curncy",1780.96
"136",2020-06-30,"S.P500.TR",6351.67
"137",2020-06-30,"ABCTRI",4063.87434
"138",2020-06-30,"CL1.Comdty",39.27
"139",2020-07-01,"BCOM.TR",139.0814
"140",2020-07-01,"GSCI.TR",1667.291
"141",2020-07-01,"XAUUSD.Curncy",1770.09
"142",2020-07-01,"S.P500.TR",6383.76
"143",2020-07-01,"ABCTRI",4060.627851
"144",2020-07-01,"CL1.Comdty",39.82
"145",2020-07-02,"BCOM.TR",140.0398
"146",2020-07-02,"GSCI.TR",1688.218
"147",2020-07-02,"XAUUSD.Curncy",1775.38
"148",2020-07-02,"S.P500.TR",6414.16
"149",2020-07-02,"ABCTRI",4064.565739
"150",2020-07-02,"CL1.Comdty",40.65
"151",2020-07-03,"BCOM.TR",140.0398
"152",2020-07-03,"GSCI.TR",1688.218
"153",2020-07-03,"XAUUSD.Curncy",1775.95
"154",2020-07-03,"S.P500.TR",6414.16
"155",2020-07-03,"ABCTRI",4064.628239
"156",2020-07-03,"CL1.Comdty",40.65
"157",2020-07-06,"BCOM.TR",141.2104
"158",2020-07-06,"GSCI.TR",1695.444
"159",2020-07-06,"XAUUSD.Curncy",1784.68
"160",2020-07-06,"S.P500.TR",6516.05
"161",2020-07-06,"ABCTRI",4069.190029
"162",2020-07-06,"CL1.Comdty",40.63
"163",2020-07-07,"BCOM.TR",141.982
"164",2020-07-07,"GSCI.TR",1700.014
"165",2020-07-07,"XAUUSD.Curncy",1794.86
"166",2020-07-07,"S.P500.TR",6445.59
"167",2020-07-07,"ABCTRI",4076.132853
"168",2020-07-07,"CL1.Comdty",40.62
"169",2020-07-08,"BCOM.TR",142.5187
"170",2020-07-08,"GSCI.TR",1708.508
"171",2020-07-08,"XAUUSD.Curncy",1808.89
"172",2020-07-08,"S.P500.TR",6496.14
"173",2020-07-08,"ABCTRI",4082.420165
"174",2020-07-08,"CL1.Comdty",40.9
"175",2020-07-09,"BCOM.TR",141.5669
"176",2020-07-09,"GSCI.TR",1689.329
"177",2020-07-09,"XAUUSD.Curncy",1803.55
"178",2020-07-09,"S.P500.TR",6461.31
"179",2020-07-09,"ABCTRI",4082.903454
"180",2020-07-09,"CL1.Comdty",39.62
"181",2020-07-10,"BCOM.TR",142.1855
"182",2020-07-10,"GSCI.TR",1707.727
"183",2020-07-10,"XAUUSD.Curncy",1798.7
"184",2020-07-10,"S.P500.TR",6528.96
"185",2020-07-10,"ABCTRI",4092.71271
"186",2020-07-10,"CL1.Comdty",40.55
"187",2020-07-13,"BCOM.TR",141.8748
"188",2020-07-13,"GSCI.TR",1697.36
"189",2020-07-13,"XAUUSD.Curncy",1802.76
"190",2020-07-13,"S.P500.TR",6467.84
"191",2020-07-13,"ABCTRI",4119.156116
"192",2020-07-13,"CL1.Comdty",40.1
"193",2020-07-14,"BCOM.TR",141.2065
"194",2020-07-14,"GSCI.TR",1692.841
"195",2020-07-14,"XAUUSD.Curncy",1809.36
"196",2020-07-14,"S.P500.TR",6555.4
"197",2020-07-14,"ABCTRI",4110.583283
"198",2020-07-14,"CL1.Comdty",40.29
"199",2020-07-15,"BCOM.TR",142.251
"200",2020-07-15,"GSCI.TR",1714.04
"201",2020-07-15,"XAUUSD.Curncy",1810.29
"202",2020-07-15,"S.P500.TR",6615.07
"203",2020-07-15,"ABCTRI",4106.753984
"204",2020-07-15,"CL1.Comdty",41.2
"205",2020-07-16,"BCOM.TR",141.8418
"206",2020-07-16,"GSCI.TR",1705.729
"207",2020-07-16,"XAUUSD.Curncy",1797.16
"208",2020-07-16,"S.P500.TR",6592.75
"209",2020-07-16,"ABCTRI",4103.539334
"210",2020-07-16,"CL1.Comdty",40.75
"211",2020-07-17,"BCOM.TR",141.8882
"212",2020-07-17,"GSCI.TR",1701.475
"213",2020-07-17,"XAUUSD.Curncy",1810.42
"214",2020-07-17,"S.P500.TR",6611.86
"215",2020-07-17,"ABCTRI",4109.445598
"216",2020-07-17,"CL1.Comdty",40.59
"217",2020-07-20,"BCOM.TR",141.4959
"218",2020-07-20,"GSCI.TR",1700.685
"219",2020-07-20,"XAUUSD.Curncy",1817.77
"220",2020-07-20,"S.P500.TR",6667.45
"221",2020-07-20,"ABCTRI",4121.14578
"222",2020-07-20,"CL1.Comdty",40.81
"223",2020-07-21,"BCOM.TR",143.5805
"224",2020-07-21,"GSCI.TR",1730.457
"225",2020-07-21,"XAUUSD.Curncy",1841.91
"226",2020-07-21,"S.P500.TR",6678.74
"227",2020-07-21,"ABCTRI",4159.211831
"228",2020-07-21,"CL1.Comdty",41.96
"229",2020-07-22,"BCOM.TR",144.5464
"230",2020-07-22,"GSCI.TR",1732.834
"231",2020-07-22,"XAUUSD.Curncy",1871.41
"232",2020-07-22,"S.P500.TR",6717.29
"233",2020-07-22,"ABCTRI",4187.820257
"234",2020-07-22,"CL1.Comdty",41.9
"235",2020-07-23,"BCOM.TR",145.369
"236",2020-07-23,"GSCI.TR",1722.692
"237",2020-07-23,"XAUUSD.Curncy",1887.44
"238",2020-07-23,"S.P500.TR",6635.04
"239",2020-07-23,"ABCTRI",4191.028045
"240",2020-07-23,"CL1.Comdty",41.07
"241",2020-07-24,"BCOM.TR",145.4245
"242",2020-07-24,"GSCI.TR",1724.447
"243",2020-07-24,"XAUUSD.Curncy",1902.02
"244",2020-07-24,"S.P500.TR",6594.1
"245",2020-07-24,"ABCTRI",4181.885908
"246",2020-07-24,"CL1.Comdty",41.29
"247",2020-07-27,"BCOM.TR",146.1777
"248",2020-07-27,"GSCI.TR",1727.245
"249",2020-07-27,"XAUUSD.Curncy",1942.24
"250",2020-07-27,"S.P500.TR",6642.89
"251",2020-07-27,"ABCTRI",4219.939088
"252",2020-07-27,"CL1.Comdty",41.6
"253",2020-07-28,"BCOM.TR",146.2388
"254",2020-07-28,"GSCI.TR",1721.218
"255",2020-07-28,"XAUUSD.Curncy",1958.43
"256",2020-07-28,"S.P500.TR",6599.97
"257",2020-07-28,"ABCTRI",4220.960652
"258",2020-07-28,"CL1.Comdty",41.04
"259",2020-07-29,"BCOM.TR",147.2259
"260",2020-07-29,"GSCI.TR",1731.383
"261",2020-07-29,"XAUUSD.Curncy",1970.79
"262",2020-07-29,"S.P500.TR",6682.01
"263",2020-07-29,"ABCTRI",4223.656428
"264",2020-07-29,"CL1.Comdty",41.27
"265",2020-07-30,"BCOM.TR",145.6468
"266",2020-07-30,"GSCI.TR",1703.08
"267",2020-07-30,"XAUUSD.Curncy",1956.64
"268",2020-07-30,"S.P500.TR",6658.02
"269",2020-07-30,"ABCTRI",4202.9613
"270",2020-07-30,"CL1.Comdty",39.92
"271",2020-07-31,"BCOM.TR",146.551
"272",2020-07-31,"GSCI.TR",1713.464
"273",2020-07-31,"XAUUSD.Curncy",1975.86
"274",2020-07-31,"S.P500.TR",6709.81
"275",2020-07-31,"ABCTRI",4215.08917
"276",2020-07-31,"CL1.Comdty",40.27
"277",2020-08-03,"BCOM.TR",149.1733
"278",2020-08-03,"GSCI.TR",1738.12
"279",2020-08-03,"XAUUSD.Curncy",1976.98
"280",2020-08-03,"S.P500.TR",6758.2
"281",2020-08-03,"ABCTRI",4226.836101
"282",2020-08-03,"CL1.Comdty",41.01
"283",2020-08-04,"BCOM.TR",150.5371
"284",2020-08-04,"GSCI.TR",1747.998
"285",2020-08-04,"XAUUSD.Curncy",2019.21
"286",2020-08-04,"S.P500.TR",6782.6
"287",2020-08-04,"ABCTRI",4260.558669
"288",2020-08-04,"CL1.Comdty",41.7
"289",2020-08-05,"BCOM.TR",151.9202
"290",2020-08-05,"GSCI.TR",1766.333
"291",2020-08-05,"XAUUSD.Curncy",2038.12
"292",2020-08-05,"S.P500.TR",6826.22
"293",2020-08-05,"ABCTRI",4285.497911
"294",2020-08-05,"CL1.Comdty",42.19
"295",2020-08-06,"BCOM.TR",152.2354
"296",2020-08-06,"GSCI.TR",1761.182
"297",2020-08-06,"XAUUSD.Curncy",2063.54
"298",2020-08-06,"S.P500.TR",6870.86
"299",2020-08-06,"ABCTRI",4317.096824
"300",2020-08-06,"CL1.Comdty",41.95
"301",2020-08-07,"BCOM.TR",150.3384
"302",2020-08-07,"GSCI.TR",1737.705
"303",2020-08-07,"XAUUSD.Curncy",2035.55
"304",2020-08-07,"S.P500.TR",6876.65
"305",2020-08-07,"ABCTRI",4261.174369
"306",2020-08-07,"CL1.Comdty",41.22
"307",2020-08-10,"BCOM.TR",151.3065
"308",2020-08-10,"GSCI.TR",1753.294
