"","date","BTC","ETC","MKR","XRP"
"1",2017-12-03,11323.2001953125,30.4575004577637,403.033996582031,0.252557992935181
"2",2017-12-04,11657.2001953125,30.3967990875244,396.226013183594,0.253571003675461
"3",2017-12-05,11916.7001953125,30.386100769043,396.346008300781,0.246101006865501
"4",2017-12-06,14291.5,27.8635997772217,361.18798828125,0.232544004917145
"5",2017-12-07,17899.69921875,26.8215999603271,358.644012451172,0.222822993993759
"6",2017-12-08,16569.400390625,30.0527000427246,402.769989013672,0.25212499499321
"7",2017-12-09,15178.2001953125,29.0926990509033,425.997009277344,0.244708001613617
"8",2017-12-10,15455.400390625,26.5074996948242,399.803985595703,0.237332999706268
"9",2017-12-11,16936.80078125,27.6420993804932,486.505004882812,0.2516910135746
"10",2017-12-12,17415.400390625,30.3185005187988,621.989990234375,0.373540997505188
"11",2017-12-13,16408.19921875,29.7203998565674,820.745971679688,0.471062988042831
"12",2017-12-14,16564,31.9619007110596,802.791015625,0.864262998104095
"13",2017-12-15,17706.900390625,32.0850982666016,791.038024902344,0.756181001663208
"14",2017-12-16,19497.400390625,34.7784004211426,1079.23999023438,0.758642017841339
"15",2017-12-17,19140.80078125,34.7865982055664,1070.18994140625,0.728366017341614
"16",2017-12-18,19114.19921875,39.3975982666016,1218.42004394531,0.778406977653503
"17",2017-12-19,17776.69921875,40.2701988220215,1394.93994140625,0.79125702381134
"18",2017-12-20,16624.599609375,44.0475006103516,1277.56994628906,0.775964021682739
"19",2017-12-21,15802.900390625,42.100700378418,1095.18994140625,1.19306004047394
"20",2017-12-22,13831.7998046875,30.9587993621826,823.39501953125,1.13828003406525
"21",2017-12-23,14699.2001953125,32.7249984741211,989.820983886719,1.17434000968933
"22",2017-12-24,13925.7998046875,30.7833003997803,1005.59997558594,1.04394996166229
"23",2017-12-25,14026.599609375,32.3526000976562,1047.19995117188,1.12232005596161
"24",2017-12-26,16099.7998046875,32.9019012451172,1064.32995605469,1.18948996067047
"25",2017-12-27,15838.5,32.1352996826172,1038.10998535156,1.3996399641037
"26",2017-12-28,14606.5,29.5265007019043,996.760986328125,1.43087995052338
"27",2017-12-29,14656.2001953125,30.0345001220703,1007.08001708984,2.21460008621216
"28",2017-12-30,12952.2001953125,26.9158000946045,918.434997558594,2.159019947052
"29",2017-12-31,14156.400390625,27.9979991912842,959.914001464844,2.30057001113892
"30",2018-01-01,13657.2001953125,34.1679000854492,970.085021972656,2.39103007316589
"31",2018-01-02,14982.099609375,34.9170989990234,1063.06994628906,2.48090004920959
"32",2018-01-03,15201,34.8633995056152,1074.53002929688,3.10537004470825
"33",2018-01-04,15599.2001953125,36.318000793457,1040.25,3.19663000106812
"34",2018-01-05,17429.5,36.1995010375977,1096.78002929688,3.04871010780334
"35",2018-01-06,17527,38.4248008728027,1216.90002441406,3.09397006034851
"36",2018-01-07,16477.599609375,40.793098449707,1169.34997558594,3.37781000137329
"37",2018-01-08,15170.099609375,34.1862983703613,1112.88000488281,2.456209897995
"38",2018-01-09,14595.400390625,38.3216018676758,1096.43994140625,2.10177993774414
"39",2018-01-10,14973.2998046875,36.9522018432617,1076.53002929688,1.97492003440857
"40",2018-01-11,13405.7998046875,32.7938995361328,1015.15997314453,1.9507999420166
"41",2018-01-12,13980.599609375,36.4039001464844,1327.88000488281,2.0432300567627
"42",2018-01-13,14360.2001953125,42.3939018249512,1422.98999023438,2.02134990692139
"43",2018-01-14,13772,42.9572982788086,1403.10998535156,1.86118996143341
"44",2018-01-15,13819.7998046875,40.4956016540527,1234.02001953125,1.67673003673553
"45",2018-01-16,11490.5,28.4573001861572,1063.18005371094,1.17923998832703
"46",2018-01-17,11188.599609375,29.1236000061035,1046.27001953125,1.30633997917175
"47",2018-01-18,11474.900390625,30.1861991882324,1654.81994628906,1.59658002853394
"48",2018-01-19,11607.400390625,31.7042999267578,1560.26000976562,1.55204999446869
"49",2018-01-20,12899.2001953125,35.0091018676758,1690.18994140625,1.57861995697021
"50",2018-01-21,11600.099609375,30.3220996856689,1576.72998046875,1.38004004955292
"51",2018-01-22,10931.400390625,29.2646007537842,1524.56005859375,1.3573499917984
"52",2018-01-23,10868.400390625,28.3665008544922,1523.41003417969,1.33706998825073
"53",2018-01-24,11359.400390625,29.6040992736816,1535.2900390625,1.35714995861053
"54",2018-01-25,11259.400390625,29.1942005157471,1345.56994628906,1.31222999095917
"55",2018-01-26,11171.400390625,28.7950992584229,1472.35998535156,1.21727001667023
"56",2018-01-27,11440.7001953125,29.4934997558594,1439.89001464844,1.21911001205444
"57",2018-01-28,11786.2998046875,32.9006004333496,1488.35998535156,1.3996000289917
"58",2018-01-29,11296.400390625,31.7148990631104,1403.34997558594,1.32396996021271
"59",2018-01-30,10106.2998046875,27.1336994171143,1277.83996582031,1.1385600566864
"60",2018-01-31,10221.099609375,28.7572002410889,1386.98999023438,1.1623899936676
"61",2018-02-01,9170.5400390625,24.9699993133545,1272.67004394531,0.962530016899109
"62",2018-02-02,8830.75,23.0727996826172,1148.22998046875,0.884783983230591
"63",2018-02-03,9174.91015625,24.1966991424561,1212.86999511719,0.924042999744415
"64",2018-02-04,8277.009765625,21.0373992919922,1061.91003417969,0.815702974796295
"65",2018-02-05,6955.27001953125,16.5268001556396,821.424987792969,0.691798985004425
"66",2018-02-06,7754,19.388500213623,910.794006347656,0.776392996311188
"67",2018-02-07,7621.2998046875,18.1574993133545,914.286987304688,0.723895013332367
"68",2018-02-08,8265.58984375,21.7935009002686,1008.61999511719,0.805262982845306
